uid,bin,range_low,range_high,payment_system,country_code,country_name,country_name_rus,bank_name_rus,bank_name,bank_name_code,hash,draft_time,create_time,update_time,enity_note,prod_type,iss_cntry,payment_system_world,status
cc346fc6-d8c4-445c-9ffa-958475459ef9,485463,4854630010000000000,4854630509999999999,VC,RUS,RUSSIAN FEDERATION,Россия,СБЕРБАНК,sber,sber,14647527aed3bbcc67599869c4ea7d499f44f351e557d08c323210b0d0ed701f,0,1633591644,0,,,,VC,
c78a29b3-4069-4324-aca5-188a606db0df,544569,5445697800000000000,5445697899999999999,MC,RUS,RUSSIAN FEDERATION,Россия,Ситибанк,JOINT STOCK COMPANY COMMERCIAL BANK CITIBANK,citibank,185ce183717c45f8982bba841553273b9010fff579f29b7fa662003a3bd9cf2a,0,1633591644,0,,,,MC,
c9f2573d-9cff-4716-ab65-289d44e429ee,455669,4556695070000000000,4556695109999999999,VC,ARM,ARMENIA,Армения,,Inecobank CJSC,inecobank_cjsc,ee2d66e9b29b7f52fc395a4f9dc9ad0ce5e9fdc4ea54a0e0f10cde5259aae1bd,0,1633589546,0,,,,VC,
4b8e1d48-71e1-429f-8203-76ab51fdcb4e,427953,4279530000000000000,4279539999999999999,VC,RUS,RUSSIAN FEDERATION,Россия,Сбер,sber,sber,e61d8fc6cbfdf7dae3b3b46a3deb3ec7a5042327816c938ff22295210a0ac424,0,1633591644,0,,,,VC,
d8221f48-2aea-4f44-86ba-5de4fec6682e,557885,5578853200000000000,5578854959999999999,MC,BLR,BELARUS,Беларусь,,BELARUSSIAN BANK OF DEVELOPMENT AND RECONSTRUCTION,belinvest,eecfe4dd39c2f322c6c989c2c4a371f9678bdedd6b64bb9e0f4ac15e898f6e5a,0,1633089315,1654022486,,,,MC,
8f53fde8-d3b7-47ac-98ef-d28c394ac14b,559537,5595370700000000000,5595370799999999999,MC,BLR,BELARUS,Беларусь,,"JOINT STOCK COMPANY ""SAVINGS BANK"" ""BELARUSBANK""",belarusbank,e6a46a0739a3389f4cc5488b29ff87571e61f9fe364a0c750e2a50e4dfc73a97,0,1633591644,1653772667,,,,MC,
f031eaae-a88a-42ba-88a4-53fa99af6570,22022053,2202205300000000000,2202205399999999999,RC,RUS,RUSSIAN FEDERATION,Россия,ПАО Сбербанк,sber,sber,258247f26a854e0b66b58dd16fa7747875158bfdbdcac7c33ccbfec12db6a851,0,1633591644,0,,,,RC,
d0daa976-51c4-4f33-b3c0-9720e81a2725,479580,4795803250000000000,4795803349999999999,VC,RUS,RUSSIAN FEDERATION,Россия,Банк Хоум Кредит,LLC Home Credit and Finance Bank,homecredit,6e10f8a35682567f79ddc48357530339e1be9561b8564e7fe58f9b0dd43ca4e1,0,1633089315,0,,,,VC,
9fe00a05-2622-46c9-8218-211d01b08e12,480086,4800862450000000000,4800862459999999999,VC,RUS,RUSSIAN FEDERATION,Россия,Альфа-Банк,Joint Stock Company Alfa-Bank,alfa,edf9d4f22e6050c4b8b9d3859b3b371861a4d7a6ed59b233ec7736a4e8cc19c5,0,1633089315,0,,,,VC,
db4010ca-cb9d-4bc9-8985-1ae283b398fd,220258,2202580101000000000,2202580101999999999,RC,RUS,RUSSIAN FEDERATION,Россия,,LANTA BANK,lanta_bank,04057f18aa3de27ab0943ea9c6a8ef047b12f27ef02c334a4def8fee1d5edb2c,0,1633593261,0,,,,RC,
924d4808-6700-470e-90e1-3db39c3423f8,416960,4169605210000000000,4169609999999999999,VC,KGZ,KYRGYZSTAN,Киргизия,,Optima Bank OJSC,optima_bank,2ce1411cfd566df6082bb87ae69bf783e533367f9da95906a1ed82cc20001988,0,1633589945,1664267918,,,,VC,
a353e5ed-6a13-4f9d-b42e-f2b63a0f3cf6,491698,4916989790000000000,4916989799999999999,VC,BLR,BELARUS,Беларусь,,Priorbank JSCB,priorbank_jscb,e6d8bda9e8ad8cc4597e3c03b033100a6ae43ffd502b6c3d1bfca16b5ea9c8b7,0,1633589945,0,,,,VC,
58809777-e449-4fe4-a3e0-eb05f0e5b2db,419534,4195340000000000000,4195340009999999999,VC,RUS,RUSSIAN FEDERATION,Россия,,BCS Bank JSC,bcs_bank_jsc,63aff4c3e685bb5ad942f2d07f61082f34ddf3a51db63cece7f65631c9aa021b,0,1633089315,0,,,,VC,
94264e98-6505-4712-8ae5-44b812df0dd1,427427,4274270200000000000,4274270219999999999,VC,RUS,RUSSIAN FEDERATION,Россия,СБЕРБАНК,sber,sber,c5bc8d553f9015fc8c7e670debf14aeffccac36242cc27279ad9e2d416ee9ac1,0,1633593261,0,,,,VC,
c2f4f421-2911-4a69-b1c4-b2444df6f941,439056,4390567700000000000,4390567719999999999,VC,RUS,RUSSIAN FEDERATION,Россия,Промсвязьбанк,Public Joint Stock Company Promsvyazbank,promsvyazbank,f79992e88b41f948f3ebf13c82f4673c05e7b381b0ac0bef6df8f7d08e7b6544,0,1633589787,0,,,,VC,
5128a334-b539-47ef-9c85-3ee8880ca0d6,462235,4622350000000000000,4622359999999999999,VC,RUS,Russia,Российская Федерация,Банк ВТБ (ПАО),VTB,vtb,b8d603a15835b36a2da94f212d4dc33b6ae25735a9cf96925eb8269965403d61,0,1634843094,0,,,,VC,
6f6199bc-e33d-4339-bbcb-9d5c61282c5f,480099,4800997160000000000,4800997169999999999,VC,RUS,RUSSIAN FEDERATION,Россия,Альфа-Банк,Joint Stock Company Alfa-Bank,alfa,b7189b407e2e949e5a606aaf5c5695ddd871789a5aa540ae9820e9d0a83cdd03,0,1633089315,0,,,,VC,
7b561dba-ff62-4c0c-8cda-3909a1f1e529,553026,5530261500000000000,5530261599999999999,MC,RUS,RUSSIAN FEDERATION,Россия,Сбербанк,sber,sber,397411f0cdbeda598d2cf83d48e3443a8a0009b59be071c4a6b50f5476741369,0,1633591644,0,,,,MC,
fb39ce13-a3dc-4f15-987b-6070c80a7189,402840,4028404710000000000,4028404719999999999,VC,RUS,RUSSIAN FEDERATION,Россия,,JSC CB Modulbank,jsc_cb_modulbank,da0c0104ecb326b9acc7cf3de94c188f1c049301bdcb9d8d31b1a11f3c62c619,0,1633589945,0,,,,VC,
74a9baaa-23ff-471a-8809-24f722b71d54,444438,4444383590000000000,4444383619999999999,VC,BLR,BELARUS,Беларусь,,Belarusian-Russian Belgazprombank JS,belgazprombank,370e1bae9a81294d2b59db3beb213252c527a9ef20c31ba37b2b32e76b2b5933,0,1633589945,0,,,,VC,
19d982c9-2027-4677-9ac7-81ee62513bf3,427633,4276330010000000000,4276330039999999999,VC,RUS,RUSSIAN FEDERATION,Россия,СБЕРБАНК,sber,sber,16f221f14359bbaf0fb4935ff9ad60b330838c7a651febf07e61c41566b6f9b8,0,1633593261,0,,,,VC,
539c233c-f3ff-417a-a3c6-d7bfa94664a0,479585,4795854010000000000,4795854019999999999,VC,RUS,RUSSIAN FEDERATION,Россия,Промсвязьбанк,Public Joint Stock Company Promsvyazbank,promsvyazbank,a2334e37cec11c994369b7bfed7bd45dae25e4e1d692a0cfab3b3b3f62b02f65,0,1633089315,0,,,,VC,
dd52f8fe-6f0c-4b05-a4a5-51ed758e57a8,427477,4274770010000000000,4274770019999999999,VC,RUS,RUSSIAN FEDERATION,Россия,СБЕРБАНК,sber,sber,218d72dc3f9a85b8b8780ff1c63c9bf33f0f76a18c43e5972fa295d10f6f7029,0,1633593261,0,,,,VC,
318ce852-f49b-4ea2-bf06-f099a411876b,532850,5328500000000000000,5328509999999999999,MC,ARM,ARMENIA,Армения,,ARARATBANK CLOSED JOINT STOCK COMPANY,araratbank_ojsc,725a3b1672aa5e48bda3561e4551602072812337fcf5e5a9c4c795d47c1916b3,0,1633589945,0,,,,MC,
079f58cb-1d59-4e5a-bebf-4b4debcd2fb6,22007401,2200740100000000000,2200740199999999999,RC,RUS,RUSSIAN FEDERATION,Россия,"ПАО ""Совкомбанк""",,sovcombank,40d5cdc71eca6db7f1330ceee68ef34e8dbd7e6966cdc64d97b26f8c721bc4bc,0,1633591644,0,,,,RC,
e7433a5e-6e6c-43cc-b348-bee4ce1c8bcd,462729,4627293150000000000,4627293169999999999,VC,RUS,RUSSIAN FEDERATION,Россия,РайффайзенБанк,AO Raiffeisenbank,raiffeisen,b6b49286905bbe3d7dc17303cd61b2848d3e4b259134bc88eead500bd292c634,0,1633591644,0,,,,VC,
52bc723a-a8ad-436d-bc83-1645d927206c,529922,5299220000000000000,5299222999999999999,MC,BLR,BELARUS,Беларусь,,BELGAZPROMBANK,belgazprombank,256eef739e54afbf8b407bacf266c53fd0ee41c5b095df81b90e3eb428fb71b2,0,1633591644,0,,,,MC,
2aea134a-17ec-4d96-804e-7f6e993abf73,540661,5406610000000000000,5406619999999999999,MC,ARM,ARMENIA,Армения,,INECOBANK CLOSED JOINT-STOCK COMPANY,inecobank_cjsc,000126a4c0e541b69f88d403f1148d4bdba55d0b31a95a97b13157a26195ca70,0,1633589945,0,,,,MC,
25c91528-817b-4ff3-ad58-3f3c3763e21c,437349,4373490000000000000,4373499999999999999,VC,RUS,,,,Bank Saint Petersburg Plc,sankt_peterburg,01e1e8f55277b1722b039925788981e3d54e3e637bb01bcf4b8cba7cbf8a09b3,0,1633593261,1669979652,,,,VC,
6c8a2d82-94a2-4e3b-bf82-e98df33758dd,476998,4769986280000000000,4769986379999999999,VC,RUS,RUSSIAN FEDERATION,Россия,,JOINT-STOCK COMPANY SEVERGAZBANK,severgazbank,e97a486d60357837d3afb52d93edf9be92cf50486de7aeda35429fbf0ba65faf,0,1633089315,0,,,,VC,
ed58ff12-2049-4f1b-a80b-2fa930e3c2b6,514930,5149309020000000000,5149309999999999999,MC,RUS,RUSSIAN FEDERATION,Россия,Росбанк,PJSC ROSBANK,rosbank,de86d8aaa74a48ae143ece92482cc7db050c174dd5a1a9ea1abc7fecd96edbfc,0,1633589945,0,,,,MC,
6f44b62b-32c0-42e9-a39b-31672cef52b6,514930,5149309000000000000,5149309009999999999,MC,RUS,RUSSIAN FEDERATION,Россия,Росбанк,PJSC ROSBANK,rosbank,b6d47dd7fa60eb79e6c884a9c1c5f05d5288196ef9ca39e30384db9a4a6a568b,0,1633589945,0,,,,MC,
7241e345-1091-47c1-a127-e230c0337092,461323,4613230000000000000,4613239999999999999,VC,RUS,RUSSIAN FEDERATION,Россия,,CB GT Bank LLC,cb_gt_bank_llc,608209a356d81001ce1aeb3caab5da40ea2c4a2cfcc7c6467e5d1af0daf9bee1,0,1633089315,0,,,,VC,
59d3cc8e-b1f4-4aaa-a216-8f5c6f3e1b1e,433300,4333009060000000000,4333009069999999999,VC,RUS,RUSSIAN FEDERATION,Россия,ЮниКредит Банк,AO UniCredit Bank,unicredit,1ebda62fafa4362c463e0a3397cf1afec6ff16bac52fa69e07cde816acb58567,0,1633589945,0,,,,VC,
37b25744-e465-4444-9064-6bd558483f01,433300,4333007510000000000,4333007549999999999,VC,RUS,RUSSIAN FEDERATION,Россия,ЮниКредит Банк,AO UniCredit Bank,unicredit,2aa0c643521c380199c46f07f36518d2e7922168f11472ea4473cea88501522c,0,1633589945,0,,,,VC,
f855cb90-4fc7-4b75-869b-c83c434a4fe5,410799,4107990000000000000,4107999999999999999,VC,KAZ,KAZAKHSTAN,Казахстан,,JSC Halyk Savings Bank of Kazakhstan,halyk_kaz,f45d29ba13e4539c91c2f9437ac9b187706764693e02434640427f29888bdeb9,0,1633089315,1653687668,,,,VC,
97bf7997-9156-4091-bbbc-6748de52a5d9,480099,4800997880000000000,4800997909999999999,VC,RUS,RUSSIAN FEDERATION,Россия,Банк Открытие,Public Joint-Stock Company Bank Otkritie Financial Corporation,otkritie,4b0d45d268250b039b7ac0546b9c11a36abb295f19f4f9643abb3a0c0945b482,0,1633089315,0,,,,VC,
3c617e11-73b8-4083-8501-b08ffeca8622,446917,4469171080000000000,4469171089999999999,VC,RUS,RUSSIAN FEDERATION,Россия,РайффайзенБанк,AO Raiffeisenbank,raiffeisen,258867d92f1fc8510e3517beefc3c0d11675e0bb502782330d0272754c439287,0,1633589945,0,,,,VC,
c8242463-a99d-424e-8387-07fa9b96b483,446098,4460986000000000000,4460987019999999999,VC,RUS,RUSSIAN FEDERATION,Россия,Банк Хоум Кредит,LLC Home Credit and Finance Bank,homecredit,9e389ca1c869ed9d9c171e1d2ef9c4240331f8027bd30d1e7df543ec6c430d89,0,1633589945,0,,,,VC,
3fbb4a6d-9b43-4ae9-b198-670cbd3ed22c,522351,5223512400000000000,5223512499999999999,MC,BLR,BELARUS,Беларусь,,BELGAZPROMBANK,belgazprombank,7bb50c6893ad99d3309c0a884a6a34ff76a359e18db5ab49dcf8459c596f9109,0,1633089315,0,,,,MC,
628cebb6-11cb-44f4-a138-7d98a6dd4f7e,546950,5469500000000000000,5469509999999999999,MC,RUS,RUSSIAN FEDERATION,Россия,Сбер,sber,sber,1acf6bf16246dca311035fa04e98adb82c15c5236dfaaadd52e62fedb2a800da,0,1633591644,0,,,,MC,
49333520-38c7-4a16-89e2-8519857abd42,479585,4795859790000000000,4795859799999999999,VC,RUS,RUSSIAN FEDERATION,Россия,,JSC CB Modulbank,jsc_cb_modulbank,cde99f0198779dc3e6d68ba5f2c8485bb0d3079571767d22119c92dc7cddc655,0,1633089315,0,,,,VC,
e8f51b11-2eb4-487d-b7be-0f2336d5e680,445237,4452371030000000000,4452375009999999999,VC,KAZ,KAZAKHSTAN,Казахстан,,JSC Halyk Savings Bank of Kazakhstan,halyk_kaz,26ea7dc643628d5aca62481df9fa04e3a62ee80404a4df385f224e64d1d4bfcb,0,1633589787,1653687675,,,,VC,
ec1c7278-a647-48c0-bdca-4c3dd72f2a47,479585,4795854580000000000,4795854599999999999,VC,RUS,RUSSIAN FEDERATION,Россия,Промсвязьбанк,Public Joint Stock Company Promsvyazbank,promsvyazbank,755ad92176eb4170803574cf55839e537db40855a17329a0743ecb65547c7ad6,0,1633089315,0,,,,VC,
50a986fc-6512-42a8-847f-5b80037c48eb,626227,6262270200000000000,6262270299999999999,CUPC,RUS,,,,St Petersburg Bank,sankt_peterburg,022afa64aabd88be63fa92697370a274a2c45cf17147f1d01783e3aa1c2dd81c,0,1634843132,1673530002,,credit,,CUPC,
62bd457c-d931-46dc-a271-18cbad933e5d,677282,6772820000000000000,6772829999999999999,MC,KAZ,KAZAKHSTAN,Казахстан,,JSC FORTEBANK,jsc_fortebank,2183ae7a8d8ace1098e557ed3cc4ecb385a18491e5de76d28df939a66a122f47,0,1633589945,0,,,,MC,
060be529-a165-4b16-8967-6f7e120a57fe,490957,4909570050000000000,4909570069999999999,VC,UZB,,,,Private Joint Stock Commercial Bank Davr Bank,Davr,5d6f6392ef1d46e88e92b8058704fbc023be626cc02efee78e5f503208032e37,0,1633089315,1669726635,,,,VC,
4d541c08-0841-4ceb-9069-48e16183616e,491698,4916985000000000000,4916985009999999999,VC,BLR,BELARUS,Беларусь,,Priorbank JSCB,priorbank_jscb,6159c7c1ae1e7b99dc0f7a15cb670fdbd26467078f02197c157e02de58e1aa24,0,1633589945,0,,,,VC,
b46b3c3e-b21a-461a-a07a-4f5fa2efde6e,549000,5490005001000000000,5490005009999999999,MC,RUS,RUSSIAN FEDERATION,Россия,Газпромбанк,GAZPROMBANK (JOINT STOCK COMPANY),gazprom,7331cb246b622c380556cc1cf35c4103d66f8fae6646a7663b348ed1a72b5ad9,0,1633589787,0,,,,MC,
8b1929a9-41ff-4e76-b5b7-5ca3c01661e8,462819,4628190000000000000,4628199999999999999,VC,KAZ,KAZAKHSTAN,Казахстан,,Bank Center Credit,bank_center_credit,25743cdb58670acbb18342e4b24e412132b2151c2fe883cb6eca1ef427cbc537,0,1633591644,0,,,,VC,
afe18d34-4026-420c-9318-dfe6fe7f092f,480949,4809499600000000000,4809499609999999999,VC,BLR,BELARUS,Беларусь,,Priorbank JSCB,priorbank_jscb,6252a119e451c55e0d6642ddb896e482f5f289437c732e87d61cb0127ab4dcf8,0,1633089315,0,,,,VC,
c0a4ec9d-493e-4d02-a154-f2d74f3ce27e,497225,4972256360000000000,4972256869999999999,VC,KAZ,KAZAKHSTAN,Казахстан,,SB JSC Home Credit and Finance Bank,homecredit,10becba08a2fa689dcfc782be95754d2144f594090d848a570365b4652324c00,0,1633589945,0,,,,VC,
