MC_name,Bin_code,MC_low,MC_high,Bin_low,Bin_high
Joint Stock Company Subsidiary Bank Alfa-bank,alfa_kz,5128590000000000000,5128599999999999999,5128590000000000000,5128599999999999999
PJSC Orient Finans,OrientFinans,5130250000000000000,5130259999999999999,5130250000000000000,5130259999999999999
JSC ForteBank,jsc_fortebank,5132230000000000000,5132239999999999999,5132230000000000000,5132239999999999999
Joint Stock company Belarusian-Swiss Bank BSB Bank,bsb_by,5133550000000000000,5133559999999999999,5133550000000000000,5133559999999999999
Credit Union Payment Center (Limited Liability Company),wildberries_bank,5133670000000000000,5133679999999999999,5133670000000000000,5133679999999999999
Armenian Card CJSC,byblos_bank_armenia_cjsc,5134570000000000000,5134579999999999999,5134570000000000000,5134579999999999999
Credit Union Payment Center (Limited Liability Company),credit_union_payment_center,5136090000000000000,5136099999999999999,5136090000000000000,5136099999999999999
Joint Stock Company Russian Standard Bank,rsb,5136910000000000000,5136919999999999999,5136910000000000000,5136919999999999999
Public Joint-Stock Company Bank Otkritie Financial Corporation,joint_stock_company_finam_investment_bank,5137680000000000000,5137689999999999999,5137680000000000000,5137689999999999999
Public Joint-Stock Company Bank Otkritie Financial Corporation,otkritie,5140170000000000000,5140179999999999999,5140170000000000000,5140179999999999999
Credit Union Payment Center (Limited Liability Company),credit_union_payment_center,5140810000000000000,5140819999999999999,5140810000000000000,5140819999999999999
JOINT-STOCK COMPANY SEVERGAZBANK,severgazbank,5140820000000000000,5140829999999999999,5140820000000000000,5140829999999999999
Public Joint-Stock Company Bank Otkritie Financial Corporation,binbank,5140930000000000000,5140939999999999999,5140930000000000000,5140939999999999999
Credit Union Payment Center (Limited Liability Company),credit_union_payment_center,5141670000000000000,5141679999999999999,5141670000000000000,5141679999999999999
National Bank for Foreign Economic Activity of the Republic of Uzbekis,national_bank_for_foreign_economic_activity_of_the_republic_of_uzbekistan,5143790000000000000,5143799999999999999,5143790000000000000,5143799999999999999
Joint Stock company Belarusian-Swiss Bank BSB Bank,bsb_by,5144210000000000000,5144219999999999999,5144210000000000000,5144219999999999999
Public Joint-Stock Company Bank Otkritie Financial Corporation,moscow_industrial_bank,5145150000000000000,5145159999999999999,5145150000000000000,5145159999999999999
PJSC ROSBANK,rosbank,5145290000000000000,5145299999999999999,5145290000000000000,5145299999999999999
Armenian Card CJSC,armswissbank_closed_joint_stock_company,5147800000000000000,5147809999999999999,5147800000000000000,5147809999999999999
Israel Credit Cards Ltd.,israel_credit_cards_limited,5148490000000000000,5148493999999999999,5148490000000000000,5148493999999999999
Israel Credit Cards Ltd.,israel_credit_cards_limited,5148494000000000000,5148497999999999999,5148494000000000000,5148497999999999999
Israel Credit Cards Ltd.,israel_credit_cards_limited,5148498000000000000,5148499999999999999,5148498000000000000,5148499999999999999
PJSC ROSBANK,rosbank,5149300000000000000,5149308999999999999,5149300000000000000,5149308999999999999
PJSC ROSBANK,rosbank,5149309000000000000,5149309009999999999,5149309000000000000,5149309009999999999
PJSC ROSBANK,rosbank,5149309010000000000,5149309019999999999,5149309010000000000,5149309019999999999
PJSC ROSBANK,rosbank,5149309020000000000,5149309999999999999,5149309020000000000,5149309999999999999
Credit Union Payment Center (Limited Liability Company),credit_union_payment_center,5150930000000000000,5150939999999999999,5150930000000000000,5150939999999999999
PJSC ROSBANK,rosbank,5151290000000000000,5151299999999999999,5151290000000000000,5151299999999999999
Public Joint-Stock Company Bank Otkritie Financial Corporation,otkritie,5152430000000000000,5152439999999999999,5152430000000000000,5152439999999999999
BANCO SANTANDER (BRASIL) S.A.,tinkoff,5154590000000000000,5154590099999999999,5154590000000000000,5154599999999999999
TINKOFF BANK,tinkoff,5154596800000000000,5154596899999999999,5154596800000000000,5154596899999999999
"CREDIT UNION ""PAYMENT CENTER"" (LIMITED LIABILITY COMPANY)",credit_union_payment_center,5154600400000000000,5154600499999999999,5154600400000000000,5154600499999999999
"JOINT-STOCK ""HALYK SAVINGS BANK OF KAZAKHSTAN""",joint_stock_bank_kazkommertsbank,5154606000000000000,5154606099999999999,5154606000000000000,5154606099999999999
"JOINT STOCK COMMERCIAL BANK ""AK BARS""",ak_bars,5154608000000000000,5154608099999999999,5154608000000000000,5154608099999999999
BELGAZPROMBANK,belgazprombank,5154630200000000000,5154630299999999999,5154630200000000000,5154630299999999999
"CREDIT UNION ""PAYMENT CENTER"" (LIMITED LIABILITY COMPANY)",otkritie,5154636600000000000,5154636699999999999,5154636600000000000,5154636699999999999
"CLOSED JOINT STOCK COMPANY ""ALFA-BANK""",alfa_by,5154640200000000000,5154640299999999999,5154640200000000000,5154640299999999999
VTB BANK (PUBLIC JOINT-STOCK COMPANY),vtb,5154641400000000000,5154641499999999999,5154641400000000000,5154641499999999999
"PUBLIC JOINT STOCK COMPANY ""BANK URALSIB""",uralsib,5154642600000000000,5154642699999999999,5154642600000000000,5154642699999999999
"JOINT-STOCK COMPANY ""SEVERGAZBANK""",severgazbank,5154644100000000000,5154644199999999999,5154644100000000000,5154644199999999999
PUBLIC JOINT STOCK COMPANY PROMSVYAZBANK,promsvyazbank,5154659000000000000,5154659099999999999,5154659000000000000,5154659099999999999
"CREDIT UNION ""PAYMENT CENTER"" (LIMITED LIABILITY COMPANY)",,5154678000000000000,5154678099999999999,5154678000000000000,5154678099999999999
"JOINT STOCK COMPANY ""BANK DOM.RF""",bank_dom_rf,5154699800000000000,5154699899999999999,5154699800000000000,5154699899999999999
PUBLIC JOINT STOCK COMPANY PROMSVYAZBANK,promsvyazbank,5154702600000000000,5154702699999999999,5154702600000000000,5154702699999999999
PUBLIC JOINT STOCK COMPANY PROMSVYAZBANK,promsvyazbank,5154703500000000000,5154703599999999999,5154703500000000000,5154703599999999999
JOINT-STOCK COMPANY RUSSIAN REGIONAL DEVELOPMENT BANK (RRDB),vbrr,5154707900000000000,5154707999999999999,5154707900000000000,5154707999999999999
"PUBLIC JOINT-STOCK COMPANY ""BANK OTKRITIE FINANCIAL CORPORATION""",moscow_industrial_bank,5154715400000000000,5154715499999999999,5154715400000000000,5154715499999999999
"CREDIT UNION ""PAYMENT CENTER"" (LIMITED LIABILITY COMPANY)",credit_union_payment_center,5154816400000000000,5154816499999999999,5154816400000000000,5154816499999999999
JOINT STOCK COMPANY RUSSIAN AGRICULTURAL BANK,rosselkhozbank,5154846700000000000,5154846799999999999,5154846700000000000,5154846799999999999
JOINT STOCK COMPANY COMMERCIAL BANK CITIBANK,citibank,5154847600000000000,5154847699999999999,5154847600000000000,5154847699999999999
SBERBANK OF RUSSIA,sber,5154870100000000000,5154870199999999999,5154870100000000000,5154870199999999999
"JOINT STOCK COMMERCIAL BANK ""AVANGARD""",avangard,5154870400000000000,5154870499999999999,5154870400000000000,5154870499999999999
JOINT-STOCK COMPANY RUSSIAN REGIONAL DEVELOPMENT BANK (RRDB),vbrr,5154874400000000000,5154874499999999999,5154874400000000000,5154874499999999999
"PUBLIC JOINT STOCK COMPANY ""BANK URALSIB""",uralsib,5154878600000000000,5154878699999999999,5154878600000000000,5154878699999999999
SBERBANK OF RUSSIA,sber,5154880000000000000,5154880099999999999,5154880000000000000,5154880099999999999
SBERBANK OF RUSSIA,sber,5154883200000000000,5154883299999999999,5154883200000000000,5154883299999999999
"CREDIT UNION ""PAYMENT CENTER"" (LIMITED LIABILITY COMPANY)",transkapital,5154883400000000000,5154883499999999999,5154883400000000000,5154883499999999999
AO RAIFFEISENBANK,raiffeisen,5154888100000000000,5154888199999999999,5154888100000000000,5154888199999999999
CREDIT URAL BANK,credit_ural_bank,5154889000000000000,5154889099999999999,5154889000000000000,5154889099999999999
"CREDIT UNION ""PAYMENT CENTER"" (LIMITED LIABILITY COMPANY)",credit_union_payment_center,5154911900000000000,5154911999999999999,5154911900000000000,5154911999999999999
JOINT STOCK COMPANY COMMERCIAL BANK CITIBANK,citibank,5154914900000000000,5154914999999999999,5154914900000000000,5154914999999999999
"PJSC ""MTS BANK""",mts_bank,5154916300000000000,5154916399999999999,5154916300000000000,5154916399999999999
"CREDIT UNION ""PAYMENT CENTER"" (LIMITED LIABILITY COMPANY)",credit_union_payment_center,5154916500000000000,5154916599999999999,5154916500000000000,5154916599999999999
JOINT-STOCK COMPANY RUSSIAN REGIONAL DEVELOPMENT BANK (RRDB),vbrr,5154926400000000000,5154926499999999999,5154926400000000000,5154926499999999999
"CREDIT UNION ""PAYMENT CENTER"" (LIMITED LIABILITY COMPANY)",expobank,5154939200000000000,5154939299999999999,5154939200000000000,5154939299999999999
"CHELYABINSK JOINT STOCK INVESTMENT BANK ""CHELYABINVESTBANK""",chelyabinvest,5154944800000000000,5154944899999999999,5154944800000000000,5154944899999999999
"""FIRST HEARTLAND JUSAN BANK"" JOINT STOCK COMPANY",jsc_atfbank,5154958300000000000,5154958399999999999,5154958300000000000,5154958399999999999
PJSC ROSBANK,sdm,5154961300000000000,5154961399999999999,5154961300000000000,5154961399999999999
"""FIRST HEARTLAND JUSAN BANK"" JOINT STOCK COMPANY",jusan,5154966400000000000,5154966499999999999,5154966400000000000,5154966499999999999
"CREDIT UNION ""PAYMENT CENTER"" (LIMITED LIABILITY COMPANY)",credit_union_payment_center,5154975100000000000,5154975199999999999,5154975100000000000,5154975199999999999
