fpsMembers/bankName,fpsMembers/bankNameRu,fpsMembers/bankId,fpsMembers/bic,fpsMembers/scenarios/0/name,fpsMembers/scenarios/0/roles/0,fpsMembers/scenarios/0/roles/1,fpsMembers/scenarios/1/name,fpsMembers/scenarios/1/roles/0,fpsMembers/scenarios/1/roles/1,fpsMembers/scenarios/2/name,fpsMembers/scenarios/2/roles/0,fpsMembers/scenarios/3/name,fpsMembers/scenarios/3/roles/0,fpsMembers/scenarios/3/roles/1,fpsMembers/scenarios/4/name,fpsMembers/scenarios/4/roles/0,fpsMembers/scenarios/4/roles/1,fpsMembers/scenarios/5/name,fpsMembers/scenarios/5/roles/0,fpsMembers/scenarios/5/roles/1,fpsMembers/scenarios/6/name,fpsMembers/scenarios/6/roles/0,fpsMembers/scenarios/6/roles/1,fpsMembers/scenarios/7/name,fpsMembers/scenarios/7/roles/0,fpsMembers/scenarios/7/roles/1,fpsMembers/scenarios/8/name,fpsMembers/scenarios/8/roles/0,fpsMembers/scenarios/2/roles/1,fpsMembers/scenarios/8/roles/1,fpsMembers/scenarios/9/name,fpsMembers/scenarios/9/roles/0,fpsMembers/scenarios/9/roles/1,fpsMembers/scenarios/10/name,fpsMembers/scenarios/10/roles/0
Chelyabinvestbank,ЧЕЛЯБИНВЕСТБАНК,100000000094,047501779,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,,,,
Coalmetbank,Углеметбанк,100000000093,047501787,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,SbscrLnk,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,
BystroBank,БыстроБанк,100000000092,049401814,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BRfnd,Receiver,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,SbscrLnk,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,Sender,,,,,,
CB Modulbank,КБ Модульбанк,100000000099,043469751,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,SbscrLnk,Receiver,,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,
COMMERCIAL BANK ROSTFINANCE,КБ  РостФинанс,100000000098,046015052,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,SbscrLnk,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,
Uralfinance,Банк Уралфинанс,100000000096,046577993,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,Me2MePush,Receiver,,,,,,,,,,,,,
Bank FC Otkritie,Банк ФК Открытие,100000000015,044525985,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,,,,
METKOMBANK,МЕТКОМБАНК,100000000136,046577881,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,SbscrLnk,Sender,,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,
Bank Vologzhanin,Банк Вологжанин,100000000257,041909760,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BRfnd,Receiver,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,Me2MePush,Receiver,,,,,,,,,,Sender,,,,,,
Russian Standard Bank,Банк Русский Стандарт,100000000014,044525151,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,SbscrLnk,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,
