fpsMembers/bankName,fpsMembers/bankNameRu,fpsMembers/bankId,fpsMembers/bic,fpsMembers/scenarios/0/name,fpsMembers/scenarios/0/roles/0,fpsMembers/scenarios/0/roles/1,fpsMembers/scenarios/1/name,fpsMembers/scenarios/1/roles/0,fpsMembers/scenarios/1/roles/1,fpsMembers/scenarios/2/name,fpsMembers/scenarios/2/roles/0,fpsMembers/scenarios/3/name,fpsMembers/scenarios/3/roles/0,fpsMembers/scenarios/3/roles/1,fpsMembers/scenarios/4/name,fpsMembers/scenarios/4/roles/0,fpsMembers/scenarios/4/roles/1,fpsMembers/scenarios/5/name,fpsMembers/scenarios/5/roles/0,fpsMembers/scenarios/5/roles/1,fpsMembers/scenarios/6/name,fpsMembers/scenarios/6/roles/0,fpsMembers/scenarios/6/roles/1,fpsMembers/scenarios/7/name,fpsMembers/scenarios/7/roles/0,fpsMembers/scenarios/7/roles/1,fpsMembers/scenarios/8/name,fpsMembers/scenarios/8/roles/0,fpsMembers/scenarios/2/roles/1,fpsMembers/scenarios/8/roles/1,fpsMembers/scenarios/9/name,fpsMembers/scenarios/9/roles/0,fpsMembers/scenarios/9/roles/1,fpsMembers/scenarios/10/name,fpsMembers/scenarios/10/roles/0
AKIBANK,АКИБАНК,100000000107,049205933,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,SbscrLnk,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,
Prio-Vneshtorgbank,Прио-Внешторгбанк,100000000228,046126708,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,SbscrLnk,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,
CHELINDBANK,ЧЕЛИНДБАНК,100000000106,047501711,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,,,,
CFB LLC,Банк БКФ,100000000227,044525215,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,SbscrLnk,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,
SBI Bank,Эс-Би-Ай Банк,100000000105,044525265,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,SbscrLnk,Sender,,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,
PJSCB Primorye,Банк Приморье,100000000226,040507795,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,SbscrLnk,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,
Belgorodsocbank,УКБ Белгородсоцбанк,100000000225,041403701,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,SbscrLnk,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,
MC Bank Rus,МС Банк Рус,100000000229,044525490,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,,,,
Asian Pacific Bank,Азиатско Тихоокеанский Банк,100000000108,041012765,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BRfnd,Receiver,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,SbscrLnk,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,Sender,,,,,,
CB Moskommertsbank,КБ Москоммерцбанк,100000000110,044525951,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,,,,
CentroCredit Bank,Банк ЦентроКредит,100000000231,044525514,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,SbscrLnk,Sender,,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,
Solid Bank,Солид Банк,100000000230,040507595,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,,,,
PJSCB DERZHAVA,АКБ Держава,100000000235,044525675,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,SbscrLnk,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,
Alef-Bank,Алеф-Банк,100000000113,044525268,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,SbscrLnk,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,
MOSCOW CITY BANK,БАНК МОСКВА СИТИ,100000000234,044525800,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,SbscrLnk,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,
GARANT-INVEST BANK,ГАРАНТ-ИНВЕСТ БАНК,100000000112,044525109,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,SbscrLnk,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,
NK Bank,НК Банк,100000000233,044525278,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,SbscrLnk,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,
Sberbank of Russia,Сбербанк,100000000111,044525225,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,,,,
Realist Bank,Реалист Банк,100000000232,044525285,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,SbscrLnk,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,
CB Agropromcredit,КБ АГРОПРОМКРЕДИТ,100000000118,044525710,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,SbscrLnk,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,
Industrial Savings Bank,ИС Банк,100000000239,044525349,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BRfnd,Receiver,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,Sender,,,,,,
ProBank,ПроБанк,100000000117,044525203,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BRfnd,Receiver,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,Sender,,,,,,
NICO-BANK,НИКО-БАНК,100000000115,045354814,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,SbscrLnk,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,
Bank IPB,Банк ИПБ,100000000236,044525402,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,SbscrLnk,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,
CB Solidarnost,КБ Солидарность,100000000121,043601706,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,SbscrLnk,Sender,,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,
National Settlement Depository,Национальный расчетный депозитарий,100000000241,044525505,C2BQRD,Receiver,,C2BQRS,Receiver,,C2BRfnd,Sender,B2COther,Sender,,,,,,,,,,,,,,,,,,,,,,
Tinkoff Bank,Тинькофф Банк,100000000004,044525974,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,SbscrLnk,Sender,,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,C2CIntPush,Sender,,,
GORBANK,ГОРБАНК,100000000125,044030814,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,,,,
SME Bank,МСП Банк,100000000246,044525108,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BRfnd,Receiver,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,Me2MePush,Receiver,,,,,,,,,,Sender,,,,,,
BANK SINARA,Банк Синара,100000000003,046577756,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,B2BPush,Receiver,C2BMcom,Sender,,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,SbscrLnk,Receiver,Sender,Me2MePull,Receiver,Sender,Sender,Me2MePush,Receiver,,C2CIntPush,Sender
BANK ORENBURG,БАНК ОРЕНБУРГ,100000000124,045354885,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,SbscrLnk,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,
JSC CB Lanta Bank,АКБ Ланта Банк,100000000245,044525348,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,SbscrLnk,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,
KoronaPay (Credit Union Payment Center),Золотая Корона - KoronaPay (РНКО Платежный Центр),100000000002,045004832,C2CPush,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,,,,,,,,,,,,Sender,,,,,,
NCO MOBI.Money,НКО МОБИ.Деньги,100000000123,044525678,C2BQRD,Receiver,,C2BQRS,Receiver,,C2BRfnd,Sender,C2CPush,Receiver,Sender,B2COther,Sender,,SbscrLnk,Receiver,,Me2MePull,Receiver,,Me2MePush,Receiver,,,,,,,,,,
Gazprombank,Газпромбанк,100000000001,044525823,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,B2BPush,Receiver,C2BMcom,Sender,,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,SbscrLnk,Receiver,Sender,Me2MePull,Receiver,Sender,Sender,Me2MePush,Receiver,,,
National Standard Bank,Банк Национальный стандарт,100000000243,044525498,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,SbscrLnk,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,
IC Bank,ИК Банк,100000000122,049209767,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,SbscrLnk,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,
Alfa Bank,Альфа Банк,100000000008,044525593,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,SbscrLnk,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,Sender,,,,,
CB ARESBANK,КБ АРЕСБАНК,100000000129,044525229,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,SbscrLnk,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,
Raiffeisenbank,Райффайзен Банк,100000000007,044525700,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,SbscrLnk,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,Sender,,,,,
Citibank,Ситибанк,100000000128,044525202,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,SbscrLnk,Sender,,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,
AK BARS BANK,Ак Барс Банк,100000000006,049205805,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,SbscrLnk,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,
Khakas municipal bank,Хакасский муниципальный банк,100000000127,049514745,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,,,,
VNESHFINBANK,ВНЕШФИНБАНК,100000000248,040349909,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,SbscrLnk,Sender,,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,
VTB,ВТБ,100000000005,044525187,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,,SbscrLnk,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,Sender,C2CIntPush,Sender,,,
Bank Saratov,Банк Саратов,100000000126,046311755,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,,,,
bank Round,банк Раунд,100000000247,044525739,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,SbscrLnk,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,
QIWI Wallet (QIWI Bank),QIWI Кошелек (КИВИ Банк),100000000009,044525416,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,SbscrLnk,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,
RNCB,РНКБ Банк,100000000011,043510607,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,,,,
RN Bank,РН БАНК,100000000253,044525147,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,,,,
Promsvyazbank,Промсвязьбанк,100000000010,044525555,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,B2BPush,Receiver,C2BMcom,Sender,,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,SbscrLnk,Receiver,Sender,Me2MePull,Receiver,Sender,Sender,Me2MePush,Receiver,,,
AVTOGRADBANK,Автоградбанк,100000000130,049205878,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,Me2MePush,Receiver,,,,,,,,,,,,,
Drive Click Bank,Драйв Клик Банк,100000000250,044525811,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BRfnd,Receiver,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,SbscrLnk,Sender,,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,Sender,,,,,,
