bank_code,type_system,bank_id,bic
belinvest,nspk,89005000003,
bnb_by,nspk,89005000015,
DOSCREDO,nspk,89003000006,
bakai,nspk,89003000002,
RSKBank,nspk,89003000003,
bakai,nspk,89003000004,
kyrgyzkommerts,nspk,89003000008,
bank_asia_cjsc,nspk,89003000009,
Eurasian Savings Bank,nspk,89003000010,
Keremet,nspk,89003000011,
FinanceCredit,nspk,89003000012,
halyk_kgz,nspk,89003000013,
TOLUBAI,nspk,89003000016,
Aiyl,nspk,89003000017,
NBP BB,nspk,89003000018,
Keremet,nspk,89003000022,
optima_bank,nspk,89003000023,
DEMIR,nspk,89003000025,
capital_kgz,nspk,89003000024,
Amonatbonk,nspk,89006000003,
Kommerzbank,nspk,89006000014,
Aloqa,nspk,89004000012,
Agrobank,nspk,89004000001,
QishloqQurilish,nspk,89004000008,
Davr,nspk,89004000017,
Turon,nspk,89004000013,
Poytaht,nspk,89004000029,
AziyaAlians,nspk,89004000018,
Universal,nspk,89004000020,
Saderot,nspk,89004000027,
ipoteka,nspk,89004000003,
Mikrokredit,nspk,89004000006,
NBU,nspk,89004000004,
Ravnaq,nspk,89004000023,
Promstroy,nspk,89004000007,
Hamkor,nspk,89004000005,
IpakYoli,nspk,89004000010,
Kapital,nspk,89004000015,
Trastbank,nspk,89004000014,
KDB,nspk,89004000024,
OrientFinans,nspk,89004000019,
Asaka,nspk,89004000009,
InFin,nspk,89004000016,
Madad,nspk,89004000025,
Uzagroeksport,nspk,89004000028,
TBC,nspk,89004000031,
AO ANOR BANK,nspk,89004000032,
